Category,Description,RAM,File Size,CPU_Intel,CPU_AMD,GPU_NVIDIA,GPU_AMD,GPU_Intel,CPU_Intel_score,CPU_AMD_score,GPU_NVIDIA_score,GPU_AMD_score,GPU_Intel_score,App
"['Action', 'MMO']","The next Grand Theft Auto series will take the open-world crime game to new heights, exploring a whole new map, and setting the stage for the first female main character in a Rockstar title.",12,150,Intel Core i5-6600K,Intel Core i5-6600K,NVIDIA GeForce GTX 1660,NVIDIA GeForce GTX 1660,NVIDIA GeForce GTX 1660,27629,27629,11659,11659,11659,GTA 6
"['Action', 'RPG', 'Violent']","THE CRITICALLY ACCLAIMED FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.",12,60,Intel Core i5-8400,Ryzen 3 3300X,NVIDIA GeForce GTX 1060 3GB,Radeon RX 580,NVIDIA GeForce GTX 1060 3GB,19102,12595,9800,8822,9800,Elden Ring
"['Action', 'RPG', 'Adventure']","Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.",8,150,AMD FX-6300,AMD FX-6300,AMD Radeon R9 280,AMD Radeon R9 280,AMD Radeon R9 280,4223,4223,5542,5542,5542,Red Dead Redemption 2
"['Action', 'Free to Play']","The 100 player PvP battle royale, Epic s Fortnite is one of a kind. With unique building mechanics, weapons, vehicles, and gamemodes Fortnite revolutionised the battle royale format and became a mainstay in modern pop-culture. Though it had a dip in popularity it s come back stronger than ever with the new Chapters, and were fast approaching the latest season of Chapter 5.",8,15,Intel Core i3-3225,Intel Core i3-3225,Radeon HD 7870,Radeon HD 7870,Intel HD 4000,2263,2263,4602,4602,345,Fortnite
"['Casual', 'Indie', 'Adventure']","Minecraft is a sandbox game where you can build, explore, and survive in a blocky world made of endless terrain. Mine resources, craft tools, and create anything you can imagine - alone or with friends. Adventure, creativity, and danger await everywhere.",4,1,Intel Celeron J4105,FX-4100,Radeon R5 220,Radeon R5 220,Intel HD 4000,2864,2622,147,147,345,Minecraft
"['Action', 'Free to Play']",FragPunk is a thrilling 5v5 hero shooter where Shard Cards allow you to break the rules of combat and ensure that no two rounds are ever the same. Get ready to unleash your skills!,8,40,Intel Core i7-4790,Ryzen 3 3100,NVIDIA GeForce GTX 750 Ti,Radeon RX 550,NVIDIA GeForce GTX 750 Ti,41711,11563,3898,2688,3898,FragPunk
"['Strategy', 'RPG', 'Adventure']","Baldur s Gate 3 is a story-rich, party-based RPG set in the universe of Dungeons & Dragons, where your choices shape a tale of fellowship and betrayal, survival and sacrifice, and the lure of absolute power.",8,150,Intel Core i5-4690,FX-8350,NVIDIA GeForce GTX 970,Radeon RX 480,NVIDIA GeForce GTX 970,33203,6084,9642,8569,9642,Baldur's Gate 3
"['Action', 'Adventure']","Experience the winner of over 300 Game of the Year awards, now on PC. Discover Ellie and Abby s story with graphical enhancements, gameplay modes like the roguelike survival experience No Return, and more.",16,150,Intel Core i3-8100,Ryzen 3 1300X,NVIDIA GeForce GTX 1650,Radeon RX 5500 XT,NVIDIA GeForce GTX 1650,12419,6941,7878,9091,7878,The Last of Us Part 2 Remastered
"['Sports', 'Simulation']","EA SPORTS FC 25 gives you more ways to win for the club. Team up with friends in your favourite modes with the new 5v5 Rush, and manage your club to victory as FC IQ delivers more tactical control than ever before.",8,100,Intel Core i5-6600K,Ryzen 5 1600,NVIDIA GeForce GTX 1050 Ti,Radeon RX 570,NVIDIA GeForce GTX 1050 Ti,27629,12275,6339,14336,6339,EA SPORTS FC 25
"['Action', 'RPG', 'Adventure']","A thrilling story-driven action RPG, with a rich open world, set in 15th century Medieval Europe. Experience the ultimate medieval adventure - through the eyes of young Henry - as you embark on a journey of epic proportions.",16,100,Intel Core i5-8400,Ryzen 5 2600,NVIDIA GeForce GTX 1060,Radeon RX 580,NVIDIA GeForce GTX 1060,19102,13167,10081,8822,10081,Kingdom Come: Deliverance II
"['Action', 'RPG', 'Adventure']","Be Greater. Together. The incredible power of the symbiote forces Peter Parker and Miles Morales into a desperate fight as they balance their lives, friendships, and their duty to protect in an exciting chapter of the critically acclaimed Spider-Man franchise on PC.",16,140,Intel Core i3-8100,Ryzen 3 3100,NVIDIA GeForce GTX 1650,Radeon RX 5500 XT,NVIDIA GeForce GTX 1650,12419,11563,7878,9091,7878,Marvel's Spider-Man 2
['Unknown'],"The Galaxy s Last Line of Offence. Enlist in the Helldivers and join the fight for freedom across a hostile galaxy in a fast, frantic, and ferocious third-person shooter.",8,100,Intel Core i7-4790K,Ryzen 5 1500X,GeForce GTX 1050 Ti,AMD Radeon RX 470,GeForce GTX 1050 Ti,52628,9089,6339,610,6339,HELLDIVERS 2
"['Action', 'Adventure', 'MMO']","PUBG: BATTLEGROUNDS, the high-stakes winner-take-all shooter that started the Battle Royale craze, is free-to-play! Drop into diverse maps, loot unique weapons and supplies, and survive in an ever-shrinking zone where every turn could be your last.",8,40,AMD FX-6300,AMD FX-6300,AMD Radeon R9 270,AMD Radeon R9 270,AMD Radeon R9 270,4223,4223,4306,4306,4306,PUBG: Battlegrounds
"['Action', 'RPG', 'Adventure']","Hogwarts Legacy is an immersive, open-world action RPG. Now you can take control of the action and be at the center of your own adventure in the wizarding world.",16,85,Intel Core i5-6600,Intel Core i5-6600,NVIDIA GeForce GTX 980,NVIDIA GeForce GTX 980,NVIDIA GeForce GTX 980,21435,21435,11112,11112,11112,Hogwarts Legacy
"['Action', 'Adventure']","A storm is coming. Venture into the complete Ghost of Tsushima DIRECTOR S CUT on PC; forge your own path through this open-world action adventure and uncover its hidden wonders. Brought to you by Sucker Punch Productions, Nixxes Software and PlayStation Studios.",8,75,Intel Core i3-7100,Ryzen 3 1200,NVIDIA GeForce GTX 960,Radeon RX 5500 XT,NVIDIA GeForce GTX 960,12419,6261,6115,9091,6115,Ghost of Tsushima DIRECTORS CUT
"['Action', 'Racing', 'Sports']","Explore the vibrant open world landscapes of Mexico with limitless, fun driving action in the world s greatest cars.",8,110,Intel Core i5-4460,Intel Core i5-4460,AMD Radeon RX 470,AMD Radeon RX 470,AMD Radeon RX 470,25352,25352,610,610,610,Forza Horizon 5
"['Action', 'RPG', 'Adventure']",Kratos and Atreus embark on a mythic journey for answers before Ragnar k arrives now on PC.,8,190,Intel Core i5-4670K,Ryzen 3 1200,NVIDIA GeForce GTX 1060,Radeon RX 5500 XT,NVIDIA GeForce GTX 1060,38654,6261,10081,9091,10081,God of War Ragnarök
"['Action', 'Adventure']","Discover the award-winning game that inspired the critically acclaimed television show. Guide Joel and Ellie through a post-apocalyptic America, and encounter unforgettable allies and enemies in The Last of Us .",16,100,Intel Core i7-4770K,Ryzen 5 1500X,NVIDIA GeForce GTX 970,Radeon RX 470,NVIDIA GeForce GTX 970,52628,9089,9642,7960,9642,The Last of Us
"['Action', 'MMO', 'Free to Play']","Call of Duty: Warzone is a free-to-play battle royale game where up to 150 players fight to be the last one standing. Drop into massive maps like Verdansk and Al Mazrah, collect weapons and gear, and survive shrinking safe zones. Use cash to buy custom loadouts, revive teammates, or gain an edge at Buy Stations. If eliminated, battle in the Gulag for a second chance. Warzone also features DMZ, an extraction mode where you face both players and AI while collecting loot. With cross-platform play and frequent updates, Warzone delivers fast-paced, tactical action for solo or squad play.",8,175,Intel Core i3-4340,FX-6300,NVIDIA GeForce GTX 670 / GeForce GTX 1650,Radeon HD 7950,NVIDIA GeForce GTX 670 / GeForce GTX 1650,3460,4223,7878,1168,7878,Call of Duty: Warzone
['Unknown'],Awaken the blade within you and reverse your fate in BLEACH Rebirth of Souls! Engage in thrilling battles with powerful sword abilities and characters from this legendary anime franchise.,16,75,Intel Core i7-9700K,Intel Core i7-9700K,NVIDIA GeForce RTX 2070,NVIDIA GeForce RTX 2070,NVIDIA GeForce RTX 2070,34465,34465,16101,16101,16101,BLEACH Rebirth of Souls
['Unknown'],"Windows 11 provides a calm and creative space where you can pursue your passions through a fresh experience. From a rejuvenated Start menu to new ways to connect to your favorite people, news, games, and content - Windows 11 is the place to think, express, and create in a natural way.",4,64,Intel Celeron G4900,Intel Celeron G4900,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,4515,4515,5030,5030,5030,Windows 11
"['RPG', 'Free to Play']","Enjoy and explore the mystical world of Teyvat in the single player action role playing, gacha game Mihoyo s Genshin Impact. Collect different characters and learn to utilise each of their unique abilities in this journey to find your long lost sibling and unravel the mysteries of this wonderful land.",8,30,Intel Core i5-4460,Intel Core i5-4460,NVIDIA GeForce GT 1030,NVIDIA GeForce GT 1030,NVIDIA GeForce GT 1030,25352,25352,2429,2429,2429,Genshin Impact
"['Action', 'Adventure', 'FPS']","Niko Bellic, Johnny Klebitz and Luis Lopez all have one thing in common - they live in the worst city in America. Liberty City worships money and status, and is heaven for those who have them and a living nightmare for those who dont.",1,16,AMD Athlon 64 X2 TK-55,AMD Athlon 64 X2 TK-55,ATI Radeon X1900,ATI Radeon X1900,ATI Radeon X1900,518,518,37,37,37,GTA 4
"['Action', 'RPG']","Embark on an epic journey across war-torn 19th-century Japan in this combat-focused open-world action RPG from Team NINJA, the veteran studio behind Nioh and NINJA GAIDEN. Japan, 1863. After three centuries of the Tokugawa Shogunate s oppressive rule, the Black Ships of the West descend upon the nation s borders and the country falls into a state of turmoil. Amidst the chaos of war, disease and political unrest, a nameless warrior forges their own path, holding the very fate of Japan in their hands.",8,80,Intel Core i5-7600K,Intel Core i5-7600K,NVIDIA GeForce GTX 1660,NVIDIA GeForce GTX 1660,NVIDIA GeForce GTX 1660,27629,27629,11659,11659,11659,Rise of the Rōnin
"['Action', 'Indie', 'Adventure']","Ready Or Not is an intense, tactical, first person shooter that depicts a modern day world in which SWAT police units are called to diffuse hostile and confronting situations.",8,90,Intel Core i5-4430,FX-6300,GeForce GTX 960,AMD Radeon R7 370,GeForce GTX 960,25352,4223,6115,4494,6115,Ready Or Not
"['Action', 'RPG', 'Indie']","The only aim in Rust is to survive. Everything wants you to die - the island s wildlife, other inhabitants, the environment, and other survivors. Do whatever it takes to last another night.",10,35,Intel Core i7-3770,Intel Core i7-3770,AMD Radeon R9 280,AMD Radeon R9 280,AMD Radeon R9 280,36551,36551,5542,5542,5542,Rust
['Unknown'],Explore the world with our largest fleet of aircraft and take simulation to new heights while pursuing your aviation career within Microsoft Flight Simulator 2024.,16,50,Intel Core i7-6800K,Ryzen 5 2600X,GeForce GTX 970,AMD Radeon RX 5700,GeForce GTX 970,10730,13892,9642,14336,9642,Microsoft Flight Simulator 2024
"['Action', 'RPG', 'Fighting']","Experience the thrill of the original webtoon through high-quality graphics! From the Weakest Hunter of All Mankind to the worlds strongest hunter, play as Jinwoo and experience the journey yourself! Adventure through the gripping story of the original work and discover all-new stories developed for the game!",8,20,Intel Core i3-3220,Intel Core i3-3220,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,14582,14582,5030,5030,5030,Solo Leveling:Arise
"['Action', 'Adventure', 'MMO']","Delta Force is back! The iconic series returns as the definitive free-to-play modern team-based tactical shooter and featuring three distinct gameplay modes: large-scale PvP warfare, intense extraction shooter action, and a remake of the legendary Black Hawk Down campaign.",12,60,Intel Core i3-4150,FX-6300,NVIDIA GeForce GTX 960,Radeon R9 380,NVIDIA GeForce GTX 960,15300,4223,6115,6064,6115,Delta Force
"['Sports', 'Simulation']","Celebrate The Bloodline in Showcase. Compete online in MyGM. Expanded gameplay includes intergender wrestling, chain wrestling, barricade diving, the return of Promos + much more!",12,103,Intel Core i5-4460,Intel Core i5-4460,GeForce GTX 1060,AMD Radeon RX 480,GeForce GTX 1060,25352,25352,10081,8569,10081,WWE 2K25
"['Sports', 'Simulation']","FIFA 23 brings The World s Game to the pitch, with HyperMotion2 Technology, men s and women s FIFA World Cup , women s club teams, cross-play features**, and more.",8,100,Intel Core i5-6600K,Intel Core i5-6600K,NVIDIA GeForce GTX 1050 Ti,NVIDIA GeForce GTX 1050 Ti,NVIDIA GeForce GTX 1050 Ti,27629,27629,6339,6339,6339,FIFA 23
"['Action', 'Adventure']","A nuclear disaster has left an area of Britain in tatters. Atomfall, a new survival-action game, will see you explore, scavenge, craft, barter and fight your way through beautifully recreated scenery in search of answers.",16,60,Intel Core i5-9400F,Intel Core i5-9400F,NVIDIA GeForce RTX 2060,NVIDIA GeForce RTX 2060,NVIDIA GeForce RTX 2060,19475,19475,14116,14116,14116,Atomfall
['Unknown'],"Journey across the sprawling expanses of the American West and Mexico in Red Dead Redemption, and its zombie-horror companion, Undead Nightmare. Now playable on PC.",8,20,AMD FX-6300,AMD FX-6300,AMD Radeon R9 280,AMD Radeon R9 280,AMD Radeon R9 280,4223,4223,5542,5542,5542,Red Dead Redemption
"['Action', 'RPG', 'Adventure']","Wuthering Waves is a story-rich open-world action RPG with a high degree of freedom. You wake from your slumber as Rover, joined by a vibrant cast of Resonators on a journey to reclaim your lost memories and change the world.",16,30,Intel Core i5-9400,Ryzen 7 2700U,NVIDIA GeForce GTX 1060,Radeon RX 570,NVIDIA GeForce GTX 1060,19102,6829,10081,14336,10081,Wuthering Waves
['Unknown'],"Call of Duty : Black Ops 6 is signature Black Ops across a cinematic single-player Campaign, a best-in-class Multiplayer experience and with the epic return of Round-Based Zombies.",12,128,Intel Core i3-8100,Intel Core i3-8100,NVIDIA GeForce GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti,NVIDIA GeForce GTX 1660 Ti,12419,12419,12907,12907,12907,Call of Duty: Black Ops 6
"['Action', 'Violent']","Sent to find a missing billionaire on a remote island, you find yourself in a cannibal-infested hellscape. Craft, build, and struggle to survive, alone or with friends, in this terrifying new open-world survival horror simulator.",12,20,Intel Core i5-8400,Ryzen 5 3600X,NVIDIA GeForce GTX 1060,Radeon RX 5700 XT,NVIDIA GeForce GTX 1060,19102,18164,10081,16336,10081,Sons of the Forest
"['Action', 'RPG']","An epic dark fantasy where fates are decided by mighty Eikons and the Dominants who wield them. This is the tale of Clive Rosfield, a tragic warrior who swears revenge on the Dark Eikon Ifrit, a mysterious entity that leaves naught but calamity in its wake.",16,170,Intel Core i5-8400,Ryzen 5 1600,NVIDIA GeForce GTX 1070,Radeon RX 5700,NVIDIA GeForce GTX 1070,19102,12275,13498,14336,13498,Final Fantasy 16
"['Action', 'Violent']","Battlefield 1 takes you back to The Great War, WW1, where new technology and worldwide conflict changed the face of warfare forever. Take part in every battle, control every massive vehicle, and execute every maneuver that turns an entire fight around. The whole world is at war see what s beyond the trenches.",8,50,Intel Core i5-6600K,Intel Core i5-6600K,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,27629,27629,4023,4023,4023,Battlefield 1
"['Design & Illustration', 'Photo Editing', 'Utilities']","The worlds best imaging and graphic design software is at the core of just about every creative project, from photo editing and compositing to digital painting, animation and graphic design.",8,4,Intel Core i7-920,Intel Core i7-920,NVIDIA GeForce GTX 950,NVIDIA GeForce GTX 950,NVIDIA GeForce GTX 950,2850,2850,5343,5343,5343,Adobe Photoshop
"['Action', 'RPG', 'Indie']","ARK is reimagined from the ground-up into the next-generation of video game technology with Unreal Engine 5! Form a tribe, tame & breed hundreds of unique dinosaurs and primeval creatures, explore, craft, build, and fight your way to the top of the food-chain. Your new world awaits!",16,70,Intel Core i7-6800K,Ryzen 5 2600X,NVIDIA GeForce GTX 1080,Radeon RX 5600 XT,NVIDIA GeForce GTX 1080,10730,13892,15583,13483,15583,ARK: Survival Ascended
"['Action', 'RPG', 'Adventure']","Black Myth: Wukong is an action RPG rooted in Chinese mythology. You shall set out as the Destined One to venture into the challenges and marvels ahead, to uncover the obscured truth beneath the veil of a glorious legend from the past.",16,130,Intel Core i5-8400,Ryzen 5 1600,NVIDIA GeForce GTX 1060,Radeon RX 580,NVIDIA GeForce GTX 1060,19102,12275,10081,8822,10081,Black Myth: Wukong
['Unknown'],"Avowed is a first-person fantasy RPG set in the world of Eora, where your choices carve a path through war, intrigue, and ancient mysteries. Navigate a land in turmoil, forge powerful alliances or deadly rivalries, and wield magic and steel to shape the fate of the Living Lands and your own destiny.",16,75,Intel Core i5-8400,Ryzen 5 2600,NVIDIA GeForce GTX 1070,Radeon RX 5700,NVIDIA GeForce GTX 1070,19102,13167,13498,14336,13498,Avowed
"['Action', 'RPG', 'Adventure']","The First Berserker: Khazan is a hardcore action role-playing game. The player will become Khazan, the great general of the Pell Los Empire, who overcame death, and sets out to reveal the incidents that led to his downfall and seek vengeance on his enemies.",12,70,Intel Core i3-6300,Ryzen 3 1200,GeForce GTX 970,AMD Radeon RX 580,GeForce GTX 970,8553,6261,9642,8822,9642,The First Berserker: Khazan
"['Action', 'Adventure', 'Free to Play']","Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.",6,22,Intel Core i3-6300,FX-4350,NVIDIA GeForce GT 640,Radeon HD 7730,NVIDIA GeForce GT 640,8553,3176,1167,1188,1167,Apex Legends
"['Racing', 'Early Access']","Ready for mayhem? Wreckfest is back, offering the best in full-contact racing with unrivaled destruction! Witness head-to-head battles as you tear apart rival vehicles bit by bit. Powered by the enhanced physics engine, developed by the creators of Wreckfest & FlatOut!",8,15,Intel Core i5-8600,Intel Core i5-8600,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,21435,21435,10081,10081,10081,Wreckfest 2
"['RPG', 'FPS']","You are Geralt of Rivia, mercenary monster slayer. Before you stands a war-torn, monster-infested continent you can explore at will. Your current contract? Tracking down Ciri the Child of Prophecy, a living weapon that can alter the shape of the world.",6,35,AMD Phenom II X4 940,AMD Phenom II X4 940,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,2351,2351,4023,4023,4023,The Witcher 3
"['Action', 'FPS']","Tom Clancys Rainbow Six Siege is an elite, tactical team-based shooter where superior planning and execution triumph.",6,61,AMD Phenom II X4 945,AMD Phenom II X4 945,NVIDIA GeForce GTX 460,NVIDIA GeForce GTX 460,NVIDIA GeForce GTX 460,2413,2413,2273,2273,2273,Tom Clancys Rainbow Six Siege
"['Action', 'RPG', 'Indie']","Fight, farm, build and work alongside mysterious creatures called Pals in this completely new multiplayer, open world survival and crafting game!",16,40,Intel Core i5-3570K,Intel Core i5-3570K,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,4964,4964,5030,5030,5030,Palworld
"['Action', 'MMO', 'Free to Play']","Blood Strike is a free FPS game which has more than 300 million faithful players in China. Now the battle is on, there are various modes and weapons for you to explore! Call your friends and join us,get into the battle field now!",4,1,Intel Pentium 4 2.00GHz,Intel Pentium 4 2.00GHz,NVIDIA GeForce 9400,NVIDIA GeForce 9400,NVIDIA GeForce 9400,133,133,143,143,143,Blood Strike
"['RPG', 'MMO']","Join millions of players and enter a world of myth, magic, and endless adventure.",8,128,Intel Core i5-4210H,Intel Core i5-4210H,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,19332,19332,6115,6115,6115,World of Warcraft
"['Action', 'RPG', 'Adventure']","His vengeance against the Gods of Olympus years behind him, Kratos now lives as a man in the realm of Norse Gods and monsters. It is in this harsh, unforgiving world that he must fight to survive and teach his son to do the same.",8,70,Intel Core i5-2500K,Intel Core i5-2500K,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,19760,19760,6115,6115,6115,God of War
['Unknown'],"Path of Exile 2 is a next generation Action RPG created by Grinding Gear Games. Set years after the original Path of Exile, you will return to the dark world of Wraeclast and seek to end the corruption that is spreading. Path of Exile 2 is a free-to-play online multiplayer game with co-op for up to six players.",8,100,Intel Core i5-2500K,Intel Core i5-2500K,NVIDIA GeForce GTX 960,Radeon RX 470,NVIDIA GeForce GTX 960,19760,19760,6115,7960,6115,Path of Exile 2
"['Action', 'Strategy', 'RPG']","League of Legends is a fast-paced, competitive online game that blends the speed and intensity of an RTS with RPG elements. Two teams of powerful champions, each with a unique design and playstyle, battle head-to-head across multiple battlefields and game modes. With an ever-expanding roster of champions, frequent updates and a thriving tournament scene, League of Legends offers endless replayability for players of every skill level.",2,16,Intel Core i3-530,Intel Core i3-530,AMD Radeon HD 6570,AMD Radeon HD 6570,AMD Radeon HD 6570,8553,8553,558,558,558,League of Legends
"['Racing', 'Sports']","Join the grid and Be One of the 20. Drive like the greatest in EA SPORTS F1 24, the official video game of the 2024 FIA Formula One World Championship .",8,100,Intel Core i5-9600K,Intel Core i5-9600K,,,,27629,27629,0,0,0,F1® 24
"['Action', 'RPG', 'Adventure']","Discover the vast Chornobyl Exclusion Zone full of dangerous enemies, deadly anomalies and powerful artifacts. Unveil your own epic story as you make your way to the Heart of Chornobyl. Make your choices wisely, as they will determine your fate in the end.",16,160,Intel Core i7-7700K,Ryzen 5 1600X,GeForce GTX 1060,AMD Radeon RX 580,GeForce GTX 1060,34465,13036,10081,8822,10081,Stalker 2
"['Action', 'Simulation', 'MMO']","Imagine a universe that combines the freedom of exploration, the thrill of combat, and the unique challenge of building a life in space. Star Citizen puts ultimate control in the hands of the player, whether youre making your way as a cargo hauler, exploring the vastness of space, or scraping out a living outside the law, you will navigate through a mixture of procedurally generated and handcrafted worlds and interact with a variety of characters.",16,150,Intel Core i7-4790K,Ryzen 5 1600,NVIDIA GeForce GTX 970,Radeon RX 570,NVIDIA GeForce GTX 970,52628,12275,9642,14336,9642,Star Citizen
"['Action', 'Strategy', 'Free to Play']","Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if its their 10th hour of play or 1,000th, theres always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.",4,15,Intel Pentium D 915,Intel Pentium D 915,NVIDIA GeForce 8600 GT,NVIDIA GeForce 8600 GT,NVIDIA GeForce 8600 GT,459,459,131,131,131,Dota 2
"['Action', 'FPS']","The ultimate Devil Hunter is back in style, in the game action fans have been waiting for.",8,35,Intel Core i7-4770,Intel Core i7-4770,NVIDIA GeForce GTX 760,NVIDIA GeForce GTX 760,NVIDIA GeForce GTX 760,41711,41711,4806,4806,4806,Devil May Cry 5
"['Casual', 'Sports']","All the FIFA action you love, brought up to date for 2019. The game is definitely the best PC football game - even though it isnt on Steam.",8,50,Intel Core i3-2100,Intel Core i3-2100,AMD Radeon R7 260,AMD Radeon R7 260,AMD Radeon R7 260,12419,12419,2891,2891,2891,FIFA 19
"['Utilities', 'Video Production']","Premiere Pro is the industry-leading video editing software for film, TV and the web.",8,8,Intel Core i3-6100,Intel Core i3-6100,NVIDIA GeForce GTX 970,NVIDIA GeForce GTX 970,NVIDIA GeForce GTX 970,12419,12419,9642,9642,9642,Adobe Premiere Pro
"['Action', 'Adventure', 'Violent']","Investigating a letter from his late wife, James returns to where they made so many memories - Silent Hill. What he finds is a ghost town, prowled by disturbing monsters and cloaked in deep fog. Confront the monsters, solve puzzles, and search for traces of your wife in this remake of SILENT HILL 2.",12,50,Intel Core i5-8400,Ryzen 3 3300X,NVIDIA GeForce GTX 1080,Radeon RX 5700 XT,NVIDIA GeForce GTX 1080,19102,12595,15583,16336,15583,Silent Hill 2
